	new_part_id	participant_id	group_num	background	kernel1	bandwidth1	metric1	min_hotspots1	max_hotspots1	min_circles1	max_circles1	kernel2	bandwidth2	metric2	min_hotspots2	max_hotspots2	min_circles2	max_circles2	kernel3	bandwidth3	metric3	min_hotspots3	max_hotspots3	min_circles3	max_circles3	StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q51_1	Q2_1	Q3_1	Q4_1	Q5_1	Q6_1	Q7_1	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q25	Q26	Q27_1	Q27_2	Q27_3	Q28_1	Q28_2	Q28_3	Q29	Q30_1	Q31	Q32	Q32_9_TEXT	Q33	Q33_9_TEXT	Q34	Q35	Q36	Q37	Q37_5_TEXT	Q38	Q39	Q40	Q41	Q42	Q43	Q44_1	Q45	Q46	Q51_1 - Sentiment	Q51_1 - Sentiment Score	Q51_1 - Sentiment Polarity	Q51_1 - Topics
10	11	13	1	none	gaussian	0.005	euclidean	20	28	20	28	gaussian	0.005	euclidean	12	26	12	26	gaussian	0.005	euclidean	15	48	15	48	2019-06-11 12:13:31	2019-06-11 13:40:46	IP Address	134.48.163.217	100.0	5235.0	True	2019-06-11 13:40:47	R_TcjMs50YCayuenD					43.0388946533	-87.90650177	anonymous	EN	13.0	12.0	4.0	7.0	10.0	12.0	7.0	Mental Demand	Performance	Mental Demand	Frustration	Effort	Frustration	Performance	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat unfamiliar	Somewhat poorly	Neither well nor poorly	Very poorly	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	34.0	No	White		Male		Bachelor's degree	Unmarried/Single	Self-employed	Other (please specify)	Journalism	$25,000 to $34,999	No	No	No	Somewhat agree	Neither agree nor disagree	4.0	Somewhat Libertarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
11	12	14	1	none	linear	0.005	euclidean	25	35	7	15	gaussian	0.005	euclidean	35	40	7	10	gaussian	0.005	euclidean	40	50	10	12	2019-06-17 08:26:36	2019-06-17 09:31:31	IP Address	134.48.163.210	100.0	3894.0	True	2019-06-17 09:31:32	R_2AGqyHIioluuMkK					43.0388946533	-87.90650177	anonymous	EN	14.0	4.0	0.0	2.0	2.0	4.0	0.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Temporal Demand	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Very poorly	Very poorly	Somewhat useless	Somewhat useless	Somewhat useless	Neither	21.0	Yes	White		Female		Currently enrolled in college	Unmarried/Single	Part-time employment	For-profit company or business		$50,000 to $74,999	No	Yes	No	Somewhat disagree	Strongly agree	5.0	Somewhat Libertarian	Fiscally conservative	Positive	1.0	0.0	Unknown
12	13	15	1	none	gaussian	0.005	euclidean	5	25	4	10	gaussian	0.005	euclidean	3	6	4	7	gaussian	0.005	euclidean	2	6	3	6	2019-06-13 14:11:40	2019-06-13 14:35:25	IP Address	134.48.160.177	100.0	1424.0	True	2019-06-13 14:35:25	R_3phYVOAEJOTHViW					43.0388946533	-87.90650177	anonymous	EN	15.0	7.0	1.0	5.0	12.0	6.0	9.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat unfamiliar	Somewhat unfamiliar	Very poorly	Very poorly	Neither well nor poorly	Neither useful nor useless	Neither useful nor useless	Somewhat useful	Neither	20.0	No	White,Black or African American		Female		Some college	Unmarried/Single	Student	Not currently employed		Less than $25,000	No	No	Yes	Agree	Somewhat agree	2.0	Somewhat Libertarian	Fiscally Liberal	Neutral	0.0	0.0	Unknown
13	14	16	3	professional	gaussian	0.005	euclidean	10	16	15	25	gaussian	0.005	euclidean	16	22	22	25	gaussian	0.005	euclidean	11	28	6	10	2019-06-11 16:30:23	2019-06-11 16:48:35	IP Address	134.48.163.130	100.0	1091.0	True	2019-06-11 16:48:36	R_1QykFb71ay9clXB					43.0388946533	-87.90650177	anonymous	EN	16.0	8.0	0.0	6.0	12.0	12.0	8.0	Mental Demand	Performance	Performance	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Temporal Demand	Somewhat familiar	Somewhat familiar	Somewhat poorly	Somewhat poorly	Neither well nor poorly	Neither useful nor useless	Neither useful nor useless	Somewhat useful	Both	25.0	No	White		Female		Doctorate degree	Unmarried/Single	Full-time employment	Government (including law enforcement)		$50,000 to $74,999	No	Yes	No	Somewhat agree	Agree	1.0	Libertarian	Somewhat fiscally Liberal	Positive	1.0	0.0	Unknown
14	15	17	1	none	gaussian	0.0075	manhattan	9	21	6	13	linear	0.005	manhattan	5	15	5	9	tophat	0.01	manhattan	4	10	6	11	2019-06-12 12:18:17	2019-06-12 13:23:56	IP Address	134.48.163.130	100.0	3939.0	True	2019-06-12 13:23:57	R_1DTrN9ipAkw1en1					43.0388946533	-87.90650177	anonymous	EN	17.0	4.0	1.0	2.0	17.0	4.0	1.0	Mental Demand	Frustration	Mental Demand	Frustration	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Frustration	Temporal Demand	Effort	Mental Demand	Mental Demand	Neutral	Very familiar	Somewhat poorly	Somewhat poorly	Somewhat well	Neither useful nor useless	Neither useful nor useless	Very useful	Both	21.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Student	For-profit company or business		Less than $25,000	Yes	No	No	Somewhat disagree	Somewhat disagree	1.0	Somewhat Libertarian	Somewhat fiscally conservative	Negative	-1.0	0.0	Unknown
15	16	18	1	none	gaussian	0.005	euclidean	3	9	3	12	gaussian	0.005	euclidean	2	6	4	8	gaussian	0.005	euclidean	2	5	2	6	2019-06-12 13:37:15	2019-06-12 15:52:48	IP Address	134.48.161.65	100.0	8133.0	True	2019-06-12 15:52:49	R_POPKcrBO7t5gNMd					43.0388946533	-87.90650177	anonymous	EN	18.0	7.0	2.0	3.0	17.0	3.0	2.0	Mental Demand	Performance	Performance	Temporal Demand	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Neither well nor poorly	Somewhat poorly	Very poorly	Neither useful nor useless	Neither useful nor useless	Somewhat useless	Neither	27.0	No	White		Male		Bachelor's degree	Unmarried/Single	Full-time employment	Government (including law enforcement)		$50,000 to $74,999	No	No	No	Somewhat agree	Somewhat agree	4.0	Libertarian	Fiscally conservative	Neutral	0.0	0.0	Unknown
16	17	19	1	none	gaussian	0.005	euclidean	3	27	4	10	gaussian	0.005	euclidean	3	47	2	15	gaussian	0.005	euclidean	14	50	25	50	2019-06-12 10:22:53	2019-06-12 12:00:30	IP Address	134.48.162.192	100.0	5856.0	True	2019-06-12 12:00:30	R_bKiR7fpnCQ5yhyx					43.0388946533	-87.90650177	anonymous	EN	19.0	10.0	0.0	3.0	12.0	15.0	2.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Physical Demand	Performance	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Somewhat poorly	Somewhat poorly	Somewhat useful	Very useful	Very useful	Both	21.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Part-time employment	For-profit company or business		Less than $25,000	Yes	No	No	Somewhat agree	Agree	5.0	Somewhat Authoritarian	Neutral	Positive	1.0	0.0	Unknown
17	18	20	1	none	epanechnikov	0.005	euclidean	130	165	25	40	epanechnikov	0.005	euclidean	250	290	40	50	epacnechnikov	0.005	euclidean	450	600	50	60	2019-06-12 12:11:31	2019-06-12 13:22:32	IP Address	134.48.162.192	100.0	4261.0	True	2019-06-12 13:22:33	R_3dYfCJAEomRZ7ke					43.0388946533	-87.90650177	anonymous	EN	20.0	8.0	1.0	0.0	11.0	7.0	3.0	Mental Demand	Frustration	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Neither well nor poorly	Very well	Very useless	Somewhat useful	Somewhat useful	Neither	21.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Student	Other (please specify)	University	$150,000 or more	No	Yes	Yes	Somewhat agree	Somewhat agree	4.0	Somewhat Libertarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
18	19	22	1	none	gaussian	0.005	euclidean	3	9	20	50	gaussian	0.005	euclidean	4	8	28	35	gaussian	0.005	euclidean	3	7	25	50	2019-06-12 08:52:39	2019-06-12 09:54:19	IP Address	134.48.162.192	100.0	3699.0	True	2019-06-12 09:54:20	R_tQCXSF4ZwGtxcSl					43.0388946533	-87.90650177	anonymous	EN	22.0	10.0	1.0	1.0	7.0	5.0	4.0	Mental Demand	Performance	Mental Demand	Frustration	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Neither well nor poorly	Neither well nor poorly	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	21.0	No	White		Male		High school diploma or GED	Unmarried/Single	Full-time employment	For-profit company or business		$75,000 to $99,999	Yes	No	Yes	Somewhat agree	Agree	5.0	Neutral	Highly fiscally conservative	Neutral	0.0	0.0	Unknown
19	20	23	1	none	gaussian	0.005	euclidean	3	10	5	12	gaussian	0.005	euclidean	5	12	7	15	gaussian	0.005	euclidean	7	15	10	18	2019-06-13 12:41:58	2019-06-13 13:18:29	IP Address	134.48.162.192	100.0	2190.0	True	2019-06-13 13:18:29	R_2Qyc4HLaSkcohQF					43.0388946533	-87.90650177	anonymous	EN	23.0	5.0	1.0	3.0	13.0	3.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat unfamiliar	Very unfamiliar	Very poorly	Very poorly	Very poorly	Somewhat useless	Somewhat useful	Neither useful nor useless	MPD	21.0	No	East Asian		Female		Currently enrolled in college	Unmarried/Single	Student	For-profit company or business		$25,000 to $34,999	No	No	No	Somewhat agree	Somewhat agree	5.0	Neutral	Neutral	Neutral	0.0	0.0	Unknown
20	21	24	1	none	gaussian	0.005	euclidean	6	8	10	16	gaussian	0.005	euclidean	4	5	4	5	gaussian	0.005	euclidean	3	5	6	8	2019-06-13 13:36:41	2019-06-13 15:52:57	IP Address	134.48.162.192	100.0	8176.0	True	2019-06-13 15:52:58	R_2B5O3sl8WZdNr1q					43.0388946533	-87.90650177	anonymous	EN	24.0	1.0	1.0	1.0	14.0	1.0	1.0	Mental Demand	Performance	Performance	Frustration	Effort	Frustration	Performance	Physical Demand	Effort	Temporal Demand	Effort	Performance	Physical Demand	Mental Demand	Temporal Demand	Very unfamiliar	Neutral	Very poorly	Somewhat well	Somewhat poorly	Very useless	Somewhat useful	Somewhat useless	Neither	21.0	No	White		Male		Some college	Unmarried/Single	Retired	Government (including law enforcement)		Less than $25,000	Yes	No	Yes	Somewhat agree	Agree	8.0	Libertarian	Highly fiscally conservative	Positive	1.0	0.0	Unknown
21	22	25	1	none	gaussian	0.005	euclidean	5	16	9	17	gaussian	0.005	euclidean	7	14	9	15	gaussian	0.005	euclidean	4	13	5	18	2019-06-14 13:50:04	2019-06-14 14:32:16	IP Address	134.48.162.192	100.0	2531.0	True	2019-06-14 14:32:16	R_083YJWBNjWzjmPn					43.0388946533	-87.90650177	anonymous	EN	25.0	8.0	2.0	4.0	17.0	10.0	18.0	Mental Demand	Frustration	Mental Demand	Frustration	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Neutral	Somewhat unfamiliar	Very poorly	Very poorly	Very poorly	Somewhat useful	Neither useful nor useless	Somewhat useful	Neither	23.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Student	For-profit company or business		Less than $25,000	No	No	No	Strongly agree	Somewhat agree	0.0	Somewhat Libertarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
22	23	26	1	none	linear	0.005	euclidean	50	70	40	60	linear	0.005	euclidean	60	75	25	35	linear	0.005	euclidean	75	95	45	55	2019-06-17 07:53:25	2019-06-17 08:09:46	IP Address	134.48.163.210	100.0	980.0	True	2019-06-17 08:09:47	R_2R7IAUT1XOhOjxP					43.0388946533	-87.90650177	anonymous	EN	26.0	7.0	1.0	8.0	11.0	5.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Neither well nor poorly	Neither well nor poorly	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	21.0	No	East Asian		Female		Currently enrolled in college	Unmarried/Single	Student	For-profit company or business		$75,000 to $99,999	No	No	No	Agree	Agree	2.0	Somewhat Authoritarian	Somewhat fiscally Liberal	Positive	1.0	0.0	Unknown
23	24	27	1	none	gaussian	0.005	euclidean	10	20	20	30	linear	0.005	euclidean	15	25	10	20	tophat	0.005	euclidean	5	10	5	10	2019-06-17 12:43:35	2019-06-17 13:17:49	IP Address	134.48.163.210	100.0	2054.0	True	2019-06-17 13:17:49	R_25ZoDRKUz5HAopO					43.0388946533	-87.90650177	anonymous	EN	27.0	7.0	1.0	1.0	5.0	7.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Physical Demand	Effort	Performance	Temporal Demand	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Very unfamiliar	Somewhat unfamiliar	Very poorly	Very poorly	Somewhat poorly	Neither useful nor useless	Neither useful nor useless	Somewhat useful	Neither	21.0	Yes	White		Female		Currently enrolled in college	Unmarried/Single	Student	Not currently employed		$35,000 to $49,999	No	Yes	No	Somewhat agree	Somewhat agree	3.0	Somewhat Libertarian	Somewhat fiscally Liberal	Neutral	0.0	0.0	Unknown
24	25	28	1	none	gaussian	0.005	euclidean	9	13	3	5	tophat	0.005	euclidean	6	10	4	5	epacnechnikov	0.0075	euclidean	4	6	4	5	2019-06-17 15:23:36	2019-06-17 17:18:54	IP Address	134.48.162.239	100.0	6917.0	True	2019-06-17 17:18:54	R_2rYmyI8N9W5Mkmh					43.0388946533	-87.90650177	anonymous	EN	28.0	3.0	1.0	10.0	18.0	2.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Frustration	Effort	Performance	Temporal Demand	Temporal Demand	Frustration	Performance	Effort	Mental Demand	Mental Demand	Very unfamiliar	Somewhat unfamiliar	Somewhat poorly	Somewhat poorly	Somewhat well	Somewhat useful	Neither useful nor useless	Neither useful nor useless	Neither	28.0	Yes	White,Central American Native, South American Native, Chicano, or Mestizo		Female		Bachelor's degree	Unmarried/Single	Part-time employment	For-profit company or business		Less than $25,000	No	No	Yes	Agree	Neither agree nor disagree	1.0	Somewhat Authoritarian	Somewhat fiscally Liberal	Neutral	0.0	0.0	Unknown
25	26	29	1	none	gaussian	0.005	euclidean	50	80	12	23	gaussian	0.005	euclidean	50	70	8	15	gaussian	0.005	euclidean	80	120	12	30	2019-06-18 12:57:07	2019-06-18 13:14:38	IP Address	134.48.163.210	100.0	1050.0	True	2019-06-18 13:14:38	R_1nPBFVGIaXYiv1A					43.0388946533	-87.90650177	anonymous	EN	29.0	11.0	1.0	8.0	9.0	7.0	12.0	Mental Demand	Performance	Mental Demand	Frustration	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Somewhat poorly	Somewhat poorly	Neither well nor poorly	Somewhat useful	Somewhat useful	Somewhat useful	Both	21.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Student	For-profit company or business		$150,000 or more	Yes	No	Yes	Agree	Neither agree nor disagree	1.0	Somewhat Authoritarian	Somewhat fiscally Liberal	Neutral	0.0	0.0	Unknown
